"","GeneID","TCGA-AO-A12D","TCGA-C8-A131","TCGA-AO-A12B","TCGA-BH-A18Q","TCGA-C8-A130","TCGA-C8-A138","TCGA-E2-A154","TCGA-C8-A12L","TCGA-A2-A0EX","TCGA-AO-A12D","TCGA-AN-A04A","TCGA-BH-A0AV","TCGA-C8-A12T","TCGA-A8-A06Z","TCGA-A2-A0CM","TCGA-BH-A18U","TCGA-A2-A0EQ","TCGA-AR-A0U4","TCGA-AO-A0J9","TCGA-AR-A1AP","TCGA-AN-A0FK","TCGA-AO-A0J6","TCGA-A7-A13F","TCGA-BH-A0E1","TCGA-A7-A0CE","TCGA-A2-A0YC","TCGA-AO-A0JC","TCGA-A8-A08Z","TCGA-AR-A0TX","TCGA-A8-A076","TCGA-AO-A126","TCGA-BH-A0C1","TCGA-A2-A0EY","TCGA-AR-A1AW","TCGA-AR-A1AV","TCGA-C8-A135","TCGA-A2-A0EV","TCGA-AN-A0AM","TCGA-D8-A142","TCGA-AN-A0FL","TCGA-BH-A0DG","TCGA-AR-A0TV","TCGA-C8-A12Z","TCGA-AO-A0JJ","TCGA-AO-A0JE","TCGA-AN-A0AJ","TCGA-A7-A0CJ","TCGA-AO-A12F","TCGA-A8-A079","TCGA-A2-A0T3","TCGA-A2-A0YD","TCGA-AR-A0TR","TCGA-AO-A03O","TCGA-AO-A12E","TCGA-A8-A06N","TCGA-A2-A0YG","TCGA-BH-A18N","TCGA-AN-A0AL","TCGA-A2-A0T6","TCGA-E2-A158","TCGA-E2-A15A","TCGA-AO-A0JM","TCGA-C8-A12V","TCGA-A2-A0D2","TCGA-C8-A12U","TCGA-AR-A1AS","TCGA-A8-A09G","TCGA-C8-A131","TCGA-C8-A134","TCGA-A2-A0YF","TCGA-BH-A0DD","TCGA-BH-A0E9","TCGA-AR-A0TT","TCGA-AO-A12B","TCGA-A2-A0SW","TCGA-AO-A0JL","TCGA-BH-A0BV","TCGA-A2-A0YM","TCGA-BH-A0C7","TCGA-A2-A0SX"
"11","NP_001246",-0.465886066,2.298256146,-1.064463233,0.539914985,-0.080796104,-2.307371364,-6.268956661,0.557685186,-3.395913743,-0.310281709,-3.765207311,-1.663702117,0.186076782,-0.607698749,3.177721705,-1.941884902,-1.40253835,1.928981169,0.117906056108924,-3.854108257,-5.461496985,-4.278716533,0.704668301,-1.008652676,2.935811045,-1.288774171,-0.131799823192513,-0.399705875746,-0.533949456864791,0.222161519,-1.379748861,1.71216652,-0.615595683,-0.347169061859814,-0.0476753639915387,-0.475291183713778,-4.515280051,0.508768691,-1.438667227,1.262016893,0.131636058,-0.6654484,-5.097180015,-2.162530076,-0.77965783,0.402771998,-1.602876128,1.470318237,2.645041222,0.738219302,1.228357493,-3.9920045,1.527064143,0.139099935870707,0.0218764560922172,0.229489972,-2.385598971,0.936000388,-3.549263702,-0.732478473,-2.655777002,1.996945,1.892262374,2.722052553,-0.064273805,-0.996656619,-1.598224348,1.61360028,2.11810718,-1.271027571,2.212306451,0.045400423,-1.236372864,-0.726944514,-0.77400979,-0.88219283,-1.478135828,1.621165308,-2.638477432,0.313471474
"12","NP_001784",0.35322054,1.921803219,-1.818304127,1.52011187,-0.195591514,1.232739348,-1.21472965,2.282129422,-0.92343751,-1.149533861,1.130099397,0.212204425,-1.377901994,0.515696833,1.63117097,-2.276586409,-0.369222886,1.643515262,-1.868123913,-1.363458345,-0.192179433,-1.018012245,-0.504628509,-0.014805539,-0.48560326,-1.72292362,1.338534499,-3.723083385,-2.122916239,1.121845786,3.27795398,2.311622269,-0.390745124,-2.330302492,0.238825357,2.746517845,-1.216172204,-0.706537212,2.721898987,2.33241691,-0.992609083,1.006998697,-2.293658208,-3.387255441,0.091519276,-1.736388146,-1.785395001,0.761084901,-1.183576896,-0.244439161,-4.564979496,2.00898246,0.669251792,-3.671776451,2.174345547,-0.179638677,-1.078900119,1.449040066,0.479298189,-0.060230503,-0.750047558,-1.927765781,4.847427795,2.332862079,-1.403950504,-0.212175108,-1.568806868,2.023718982,4.459829555,-2.081128547,-2.043739349,-2.32467567,-1.723335351,-2.094457267,-1.02486946,-0.637294036,-0.281329812,0.421775521155017,-0.347399010153462,-0.0978674344189534
"13","NP_002002",-3.307995497,1.537254531,-3.389729815,2.282858934,0.80476849,-0.105773586,1.223944292,3.321182467,-0.083020702,0.0240972715882843,-0.123587066235043,-0.171401990823015,-3.184127483,-2.726401818,1.509944903,0.541600281,3.38898373,5.54087612,2.045017443,1.305095133,-2.504107178,0.263684506,-0.0641379795668677,0.202577535961003,1.322948766,1.075366918,-4.066426722,0.199884788,0.099276995,2.244651752,-3.416533107,4.190846337,3.140241438,-0.069784551,-0.90172216,3.431156166,-1.199368599,-1.209422413,7.75723238,-0.0430668146893254,-0.149261632395905,-1.755200361,2.39450535,1.785686774,3.51451932,-2.148230982,-1.160098862,-3.287455397,1.467765883,-0.23754163244303,-0.603817585821898,-1.002172071,4.122286905,1.64308851,-0.040410721,-0.0678864060930619,-0.00985327598899044,-4.561798997,1.195102748,-0.241737455,0.082031495,1.320034953,3.280967929,3.743261747,-0.763394705,1.282580204,1.680487532,-0.285097417,-5.401541292,1.000283576,-1.565110163,-3.296914462,2.201655518,-3.638975847,1.786045302,1.94984194,1.992933144,0.733808661,-2.910696027,0.974856205
"14","NP_002408",-0.625897588,1.743696459,-1.507899053,-1.46396875,1.883845347,0.739025561,-3.307172106,-0.692468346,-2.953194175,-0.471535397,0.315314521,0.418014316,-0.451414567,-0.059649689,2.62302061,-1.951925947,1.884935665,3.344291088,-1.397097639,-3.610008016,-4.62044036,-1.159168275,0.371207719,-0.95657335,-0.583448134,-1.509795708,-2.479849293,-2.61963663,-2.653305078,-1.991061779,-1.637229134,1.408256397,-0.840446243,-1.650975857,0.999190368,0.223625633,-2.246793331,-0.731681472,-1.232627024,0.69613663,0.365853796,0.620402885,-2.012368394,-2.061033499,-1.7016536,-0.471788378,-2.461390826,0.192220662,0.705999488,-0.451477265,-2.89791722,-3.428153376,0.350635776,0.473763958,0.269542446,1.294576953,-3.465197756,3.858671584,-3.435149932,-1.588474221,-0.441373071,2.120019554,2.695859989,3.576941032,0.437189878,-0.781100888,-1.312072496,1.545247163,1.023184199,-1.51330076,-1.680075017,-2.851793087,0.455181036,-3.573312395,0.039676062,-1.177327273,-3.27831773,-1.320639803,-0.918145159,1.385987254
"15","NP_003003",-2.641280818,-0.102137245,-2.588773865,7.418020091,-0.749889352,-3.748284195,-0.879788321,-3.691740196,1.03128194,-2.842697591,-1.934415382,6.352761811,1.707556135,-1.514814434,0.286663681,-2.681575233,-5.55493568,1.460216101,-2.343176053,-1.119358104,-3.630731866,5.819585839,-2.360758495,5.779019477,2.272990931,-2.413615924,-2.292826413,-2.709202113,2.250751718,-4.924032491,-5.557078059,-2.185689929,0.450362524,-4.809454293,-2.23236093,0.162008184,1.080320524,-4.582943972,0.397620902,5.561797851,-0.022947649,-4.738711514,-0.380887476,-0.261160865,-1.026491343,-1.339080939,-2.13691283,2.864158753,-5.793747549,0.614614464,1.999817163,-5.266592335,-5.553291767,-2.125337948,-3.616143168,1.152565356,-2.846786802,0.221054773,4.424868246,1.860157864,-2.101057634,-1.602985707,4.902976017,7.053043987,-1.4808172,-2.901321189,-0.940342519,-0.634457793,5.2474677,0.920787685,-1.09117342,7.624177518,-2.451948394,-1.743300548,-0.6903899,5.039334416,-0.609539772,4.436860301,-0.012237374,1.30256936
"16","NP_004314",-1.227845699,-1.356980333,3.048403999,-1.159539001,-1.68137211,0.219711799,3.327676905,-2.192104271,0.115827917,-1.475706095,0.021728067,-0.283763671,-1.284403263,-0.760984501,-0.433345688,-0.42234006,-0.686871714,-1.382423353,1.251921921,-0.486352395,0.351573455,-0.498558055,3.838394252,4.017002281,2.481305824,0.447823624,2.03675325,0.862669365,-0.047599914,0.2689451,2.048197454,-1.812075649,0.158889577,-2.455236126,-0.326093718,-1.539318043,-0.488015973,-1.754214715,-1.619404248,-0.001555101,-0.041685068,-0.69346259,-0.155855625,0.787637099,-0.659870978,-1.026564905,-0.886320553,-0.696783625,0.013484583,0.370494908,0.114026858,-0.229838179,-1.60463174,0.153624057,-1.477466314,-1.001277205,0.640072702,-3.605228243,0.949585242,0.605294987,-0.54873811,-0.93975061,-1.88131352,-2.417257558,-2.922982827,-1.293487461,0.752499748,-1.838232132,-2.279244791,5.554262425,-0.994978339,-0.212301425,-0.793346843,3.364174015,-0.011782331,-1.058017605,3.12674937,-0.90562287,0.277831621,-1.19996746
"17","NP_004439",9.668177053,0.197405944,-1.49127021,-5.187378761,-2.960520968,-0.504401755,-3.894260277,0.039529446,-1.643794774,9.438236737,0.038221688,-1.532118744,-1.016656896,-1.672299796,-4.419111833,3.322969805,-2.79560068,-4.777965195,-3.406004569,-3.862382841,-4.037568559,-2.062566865,-2.300494535,-2.566692512,-3.099008283,-2.587275704,-1.931248846,-3.826979346,1.663244082,3.853287222,-0.326769836,-2.860426167,5.800973058,-2.529415471,-1.038266581,3.886440649,-3.25220905,-4.251877881,-3.13036574,-1.396938562,-5.887759803,-2.057753605,5.63558909,-1.705795479,2.995442961,-3.11242774,-4.918635653,-2.036446595,-2.766468107,-3.937133699,-4.431969208,-1.537593726,-2.672131554,-2.304399248,-1.209779488,5.767942272,-1.606471046,-2.407032351,-4.804515175,-2.531862205,-4.682292115,4.567835686,-2.018332468,-5.421009682,-4.562805672,-3.6858027,2.10302952,-3.383772057,-4.140613859,-2.421825219,0.992271271,-2.258297921,-4.773258292,-4.404097805,-4.308558215,-1.770735889,-3.62310395,-3.322351309,-2.77904933,-4.891209269
"18","NP_004487",-0.770669919,-0.595978718,1.607237584,-5.548680002,1.113076164,0.618339969,1.235234449,-1.27642164,-0.281869322,-0.541167672,-1.944311554,-2.756856289,0.313575052,-0.878573571,-4.433805902,-0.539485587,0.063238772,-2.461183991,0.833231899,-0.180192772,1.290427362,-0.385633231,-0.725596364,-0.249162506,-4.333116211,1.304282082,0.185226742,1.521871323,-0.888062226,-0.065737447,1.93290778,-5.927409068,-0.353270031,-0.428968749,1.395436923,-0.878642064,-1.723080965,-1.330953003,-3.990673958,-2.753687627,-0.069791196,0.16657302,-0.130852086,1.163174434,-1.502008847,1.892674023,1.425585171,-3.944973803,2.638445842,-0.79139057,-0.556936151,1.90947932,1.527064143,0.351676708,1.78549521,0.932785502,2.306637816,-3.79720438,1.347254442,-2.668552626,-0.830571338,0.448256861,-4.992013963,-6.269245331,-0.961051923,0.791395835,2.279534401,-2.309109161,-4.582115061,1.163060874,0.361137688,-0.056118487,-0.196543194,2.316413722,0.213348141,-4.527417184,0.835910153,-3.283371818,1.016391909,-5.650907946
"19","NP_005219",0.402747916,1.245807104,-2.386456272,-1.922286065,-2.422622474,-2.625542471,-3.284591791,1.445952169,-1.212330788,0.232117062,-1.845349828,-0.169049962,-3.022629674,0.215424743,-0.271710932,-1.657388621,7.158671628,4.263791799,-2.327072591,-3.175592334,-3.266925977,-0.394102593,-2.336652911,-0.778635653,-1.009546779,-3.854202731,-2.87259734,-5.435575428,-0.0149606,-1.386473952,-2.259793375,-0.841793786,-3.57196415,-3.849026981,-1.951240063,-2.617623398,-1.574649118,-3.96271889,-0.462687316,1.834714991,-3.212993237,-2.971016174,-2.181142282,-1.678729725,-2.11909263,-2.790221286,-5.023415006,-1.260722632,-5.051767294,-3.102801042,-3.698934732,-3.394985663,-4.54842587,-2.339668898,-3.385087171,-0.247263248,-1.092875508,3.339012039,-2.553361707,-0.27759068,-5.152014161,-2.249127116,0.651685412,-1.206442749,-3.113319408,-2.986130001,-3.074446989,1.359174788,0.966672045,-1.903209174,-1.098212085,1.025448363,-5.293173127,-4.855177168,-3.372658677,-1.959119577,-3.99772744,-0.373667464,-2.540300233,-1.774955086
"20","NP_005931",1.736177274,0.739821988,-2.275597317,-0.132506769,1.286909214,0.735368422,-0.243776136,0.269820886,0.419728638,1.272936325,0.450562213,2.246685801,2.162299964,-0.385119437,-1.182743193,1.241126431,-2.791773586,-2.512267364,1.485422125,0.581068996,2.127572095,-0.09767493,1.496134983,-1.425287284,-2.186841554,3.26979504,-2.592063021,1.600688949,1.067576618,2.215861855,-0.672638859,-2.01282362,-3.380424784,-4.063756665,-0.315384352,-0.553438861,0.534203351,0.848216202,0.621734807,-1.433300346,0.8623954,-2.119384821,1.11619942,-3.116597902,-0.547343935,-0.27555738,1.672323648,-1.588250528,0.010186893,2.688085623,0.708139477,-4.245500594,-1.544721036,-5.009310104,-1.632442898,-1.180482316,-0.883244676,-0.387972974,0.558832029,-1.734127948,1.303308814,2.290956435,-2.833039727,2.545752595,-2.622836682,2.565313486,-3.363273158,-1.788865992,1.93444268,-2.050844398,0.593413616,-1.85222228,-1.902742582,-2.688283265,-2.288816258,-2.452056893,-1.143295363,0.380700331,1.317617405,-1.691537192
